id,name,Earth/space science,Life science,Technology/engineering,Mathematics,numLeaders,numParents,maxParticipants,daysBetween,isRepeating,numRepeats,priority,onSchoolDay,onWeekend,onSummer,withFriendsOnly,degreeOfChoice
0,Public Library,0.469,0.377,0.482,0.416,0,0,1,15,FALSE,-1,-1,TRUE,TRUE,TRUE,FALSE,HIGH
1,OMSI,0.174,0.235,0.201,0.023,1,1,30,30,FALSE,-1,-1,FALSE,TRUE,TRUE,FALSE,MODERATE
2,Zoo,0.146,0.119,0.149,0.056,1,1,30,30,FALSE,-1,-1,FALSE,TRUE,TRUE,FALSE,MODERATE
3,Children's museum,0.4,0.424,0.275,0.285,1,1,30,30,FALSE,-1,-1,FALSE,TRUE,TRUE,FALSE,MODERATE
4,Scouts/4-H,0.039,0.119,0.01,0.024,1,0,30,7,TRUE,52,2,TRUE,FALSE,FALSE,FALSE,LOW
5,Afterschool program,0.333,0.385,0.378,0.357,1,0,30,1,TRUE,365,1,TRUE,FALSE,FALSE,FALSE,LOW
6,State/national park,0.204,0.322,0.293,0.344,0,1,8,30,FALSE,-1,-1,FALSE,TRUE,TRUE,TRUE,LOW
7,Team sport,0.206,0.412,0.416,0.41,1,0,20,1,TRUE,365,1,TRUE,TRUE,TRUE,FALSE,LOW
8,Own sport,0.351,0.34,0.382,0.346,0,0,5,1,FALSE,-1,-1,TRUE,TRUE,TRUE,TRUE,HIGH
9,Summer camp,0.199,0.202,0.248,0.233,5,0,200,1,TRUE,180,0,FALSE,FALSE,TRUE,FALSE,LOW
10,Hiking,0.175,0.139,0.211,0.185,0,1,8,3,FALSE,-1,-1,TRUE,TRUE,TRUE,TRUE,MODERATE
11,Garden,0.302,0.349,0.382,0.315,0,1,3,3,FALSE,-1,-1,TRUE,TRUE,TRUE,TRUE,MODERATE
12,Science kits,0.307,0.366,0.425,0.485,0,0,3,15,FALSE,-1,-1,TRUE,TRUE,TRUE,TRUE,MODERATE
13,Read,0.297,0.289,0.39,0.262,0,0,1,1,FALSE,-1,-1,TRUE,TRUE,TRUE,TRUE,HIGH
14,Web sites,0.317,0.383,0.422,0.344,0,0,3,1,FALSE,-1,-1,TRUE,TRUE,TRUE,TRUE,HIGH
15,Computer games,0.163,0.211,0.305,0.17,0,0,5,1,FALSE,-1,-1,TRUE,TRUE,TRUE,TRUE,HIGH
16,Social Media,0.141,0.115,0.122,0.288,0,0,1,1,FALSE,-1,-1,TRUE,TRUE,TRUE,TRUE,HIGH
17,STEM TV show,0.423,0.455,0.537,0.551,0,1,5,7,FALSE,-1,-1,TRUE,TRUE,TRUE,TRUE,MODERATE
18,Build/Repair Stuff,0.395,0.356,0.495,0.458,0,0,3,7,FALSE,-1,-1,TRUE,TRUE,TRUE,TRUE,HIGH
19,Care for pets,0,0.025,0.177,0.024,0,0,1,1,FALSE,-1,-1,TRUE,TRUE,TRUE,TRUE,MODERATE
20,Class,0.287,0.287,0.187,0.387,1,0,30,1,TRUE,365,0,TRUE,FALSE,FALSE,FALSE,LOW
