id,name,topic1,topic2,topic3,numLeaders,numParents,maxParticipants,probSchoolRelated,probVoluntary,probParentMediated,daysBetween,numRepeats,meetingsBetweenTopicChange,onSchoolDay,onWeekend,onSummer,withFriendsOnly,degreeOfChoice,isRepeating,priority
0,Library,0.183,0.154,0.159,0,0,1,0.5,0.5,0.25,3,365,1,TRUE,TRUE,TRUE,FALSE,HIGH,FALSE,3
1,Museum,0.181,0.163,0.173,1,1,30,0.1,0.5,0.5,30,36,9999,FALSE,TRUE,TRUE,FALSE,MODERATE,FALSE,3
2,Scouts,0,0,0,1,0,15,0,0.75,0.25,7,156,2,TRUE,FALSE,FALSE,FALSE,MODERATE,TRUE,2
3,NationalParks,0.113,0.017,0.008,0,1,8,0,0.5,1,73,15,3,FALSE,TRUE,TRUE,TRUE,LOW,FALSE,3
4,Afterschool,0,0.08,0.126,1,0,45,0.25,0.75,0.25,1,1096,10,TRUE,FALSE,FALSE,FALSE,LOW,TRUE,1
5,Talk,0.133,0.213,0.231,0,1,1,1,0.1,1,1,1096,15,TRUE,FALSE,FALSE,TRUE,HIGH,FALSE,3
6,SummerCamp,0.119,0.103,0.038,5,0,200,0,0.5,0.1,1,180,5,FALSE,FALSE,TRUE,FALSE,LOW,TRUE,0
7,HikeOutdoors,0.185,0.169,0.04,0,1,8,0,0.75,0.5,7,156,10,FALSE,TRUE,TRUE,TRUE,MODERATE,FALSE,3
8,Garden,0.374,0.2,0.134,0,1,3,0.2,0.6,0.5,1,1096,5,TRUE,TRUE,TRUE,TRUE,MODERATE,FALSE,3
9,Experiments,0.236,0.082,0,0,1,3,0,1,0.25,1,1096,10,TRUE,TRUE,TRUE,TRUE,MODERATE,FALSE,3
10,Read,0.226,0.121,0.232,0,0,1,0,1,0.2,1,1096,1,TRUE,TRUE,TRUE,TRUE,HIGH,FALSE,3
11,Internet,0.249,0.17,0.112,0,0,3,0.1,1,0.2,1,1096,1,TRUE,TRUE,TRUE,TRUE,HIGH,FALSE,3
12,Computer,0.07,0.04,0.184,0,0,10,0,1,0.2,1,1096,1,TRUE,TRUE,TRUE,TRUE,HIGH,FALSE,3
13,TV,0.235,0.181,0,0,1,5,0.2,0.75,0.2,1,1096,1,TRUE,TRUE,TRUE,TRUE,MODERATE,FALSE,3
14,Build,0.246,0.152,0,0,0,3,0.1,0.8,0.1,1,1096,10,TRUE,TRUE,TRUE,TRUE,HIGH,FALSE,3
15,Class,0.3,0.1,0.1,1,0,30,1,0,0,1,1096,15,TRUE,FALSE,FALSE,FALSE,LOW,TRUE,0
