ID,Technology..Engineering..Math,Earth..Space.Science,Human..Biology
1,0.7188,0.5714,0.9688
2,0.4688,0.4107,0.3906
4,0.875,0.8036,0.6094
5,0.3438,0.4821,0.2969
7,0.375,0.2857,0.6562
9,0.5625,0.6429,0.7812
10,0.8125,0.8393,0.7344
11,0.4688,0.3214,0.5625
13,0.5625,0.4821,0.7969
14,0.8438,0.7857,0.7812
15,0.5625,0.6607,0.6406
16,0.8438,0.8571,0.875
17,0.8125,0.9107,0.7969
18,0.3438,0.4821,0.2969
19,0.5938,0.6607,0.7656
20,0.5625,0.3214,0.4062
21,0.6875,0.8393,0.8594
22,0.4688,0.3571,0.375
23,0.6562,0.4286,0.75
24,0.3125,0.0179,0.1719
27,0.6875,0.6607,0.4531
28,0.6875,0.8571,0.6875
29,0.6875,0.3571,0.4062
30,0.3125,0.5,0.8125
31,0.4062,0.75,0.5312
32,0.7812,0.8571,0.75
33,0.9375,0.9464,0.9219
34,0.8438,0.875,0.8594
35,0.8438,0.5,0.8438
36,0.8438,0.8393,0.7031
37,0.6875,0.7143,0.8125
38,0.5312,0.3571,0.3125
39,0.875,0.8571,1
40,0.8438,0.6429,0.5938
42,0.4688,0.625,0.5469
43,0.75,0.5893,0.2969
44,0.875,0.6964,0.7344
49,0.875,0.875,0.8906
51,0.8438,0.8393,0.8281
53,0.625,0.6607,0.5156
54,0.2188,0.6607,0.5156
56,0.5625,0.625,0.8594
57,0.375,0.875,0.5469
58,0.875,0.7321,0.7031
59,0.5938,0.6964,0.6094
60,0.3438,0.7321,0.3906
61,0.625,0.8036,0.7656
62,0.6562,0.6429,0.5
64,0.8125,0.625,0.7656
65,0.1562,0.3929,0.5
66,0.1562,0.3929,0.5
68,0.7812,0.875,0.9531
69,0.4062,0.5179,0.6094
70,0.4375,0.4464,0.4219
71,1,1,0.8125
72,0.9688,1,0.9375
73,0.5625,0.4821,0.6719
74,0.625,0.6071,0.3438
77,0.5625,0.4464,0.3906
78,0.2812,0.7321,0.4844
79,0.5312,0.875,0.7031
81,0.4688,0.7143,0.75
82,0.375,0.5,0.9375
83,0.625,0.6429,0.7812
84,0.125,0.2321,0.6406
85,0.3438,0.2857,0.4375
86,0.25,0.4464,0.6406
87,0.7188,0.5357,0.7188
88,0.4062,0.4643,0.75
89,0.5938,0.6607,0.4219
90,0.4062,0.25,0.5938
91,0.125,0,0
92,0.0625,0.3214,0.5
93,0.5,0.3571,0.6875
94,0.625,0.6964,0.6406
95,0.3438,0.2857,0.625
96,0.375,0.5179,0.6719
97,0.7188,0.5179,0.6094
98,0.625,0.5893,0.2656
99,0.3438,0.3571,0.6875
100,0.3125,0.1429,0.375
101,0.2188,0.1786,0.5625
103,0.4062,0.2321,0.4219
104,0.9062,0.9107,0.8906
105,0.5312,0.6429,0.5625
106,0.125,0.0536,0.2344
107,0.5938,0.375,0.7031
108,0.9062,0.6071,0.8438
109,0.5938,0.7857,0.75
111,0.875,0.8929,0.875
113,0.25,0.5893,0.3281
115,0.4062,0.2321,0.2969
116,0.6875,0.6429,0.875
118,0.375,0.2857,0.375
119,0.3438,0.7143,1
120,0.5625,0.6071,0.6562
123,0.2812,0.2143,0.2188
124,0.625,0.5536,0.6094
125,0.5,0.6964,0.6406
126,0.6875,0.7857,0.625
127,0.5625,0.3036,0.5781
128,0.5312,0.7857,0.7812
130,0.7188,0.5714,0.75
131,0.5,0.7143,0.5312
132,0.6875,0.6607,0.4531
133,0.625,0.875,0.7344
134,1,0.875,0.9531
135,1,0.875,0.8906
136,0.875,0.8929,0.9375
137,0.7188,0.8571,0.8125
138,0.8438,0.4821,0.4219
139,0.6875,0.8214,0.8438
140,0.5312,0.625,0.5781
141,0.5625,0.3214,0.7188
142,0.3438,0.3036,0.3906
144,1,1,1
149,0.7188,0.875,0.5156
151,0.5,0.6964,0.4844
152,0.3438,0.3214,0.3125
153,0.625,0.7143,0.7812
154,0.5625,0.6607,0.7656
155,0.8125,0.8036,0.4844
156,0.3125,0.3571,0.25
158,0.6562,0.7321,0.5156
159,0.3438,0.7143,0.5
160,0.5,0.1964,0.3906
161,0.8125,0.8929,0.7812
162,0.6562,0.5179,0.5781
163,0.7812,0.6964,0.5469
164,0.625,0.6071,0.625
165,0.625,0.5893,0.7969
166,0.5938,0.4286,0.625
167,0.5,0.4821,0.3594
168,0.0938,0.2143,0.25
169,0.6562,0.5536,0.4531
170,0.5625,0.6607,0.3906
171,0.875,0.6429,0.875
172,0.5,0,0.1875
173,0.5625,0.4821,0.3906
174,0.2812,0.3929,0.2812
175,0.2812,0.3393,0.4219
176,0.6875,0.5,0.2812
177,0.4062,0.4464,0.6094
178,0.2188,0.0714,0.4062
179,0.25,0.0536,0.1719
180,0.3438,0.3929,0.6875
181,0.5625,0.7321,0.7656
182,0.8125,0.8036,0.8594
183,0.5938,0.5893,0.6406
184,0.4062,0.3214,0.5312
185,0.5625,0.375,0.5781
186,0.5,0.125,0.6094
187,0.1562,0.3571,0.5
188,0.5938,0.5,0.75
189,0.1875,0.4821,0.2969
190,0.5938,0.4107,0.2969
191,0.75,0.5357,0.8125
192,0,0,0
193,0.3438,0.125,0.8281
194,0.1875,0.2143,0.25
195,0.25,0.6964,0.4844
196,0,0,0
198,0.5312,0.5714,0.4062
200,0.0938,0.1071,0.4688
201,0.125,0.4643,0.4688
202,0.5312,0.5179,0.5156
203,0.2812,0.0536,0.4531
204,0,0.1071,0.125
205,0.6562,0.9286,0.6875
206,0.4375,0.4464,0.4844
207,0.4375,0.5,0.5312
208,0.1875,0.2857,0.25
210,0.75,0.7857,0.8125
211,0.5938,0.8036,0.5469
212,0.9375,0.625,0.5469
214,0.875,1,1
215,0.6875,0.3393,0.5156
216,0.4375,0.3036,0.6406
217,0.3438,0.4643,0.5312
218,0.0312,0.1429,0.25
