Survey_number,Sex,School_code_2,Science_teacher_7,Library_me_7,OMSI_me_7,Zoo_me_7,Child_musuem_me_7,Scouts_me_7,Program_me_7,National_parks_me_7,Team_sport_me_7,Own_sport_me_7,Summer_camp_me_7,Hike_outdoors_me_7,Garden_me_7,Experiments_me_7,Read_me_7,Internet_me_7,Computer_me_7,Communicate_me_7,TV_me_7,Build_me_7,Pets_me_7,Library_encourage,OMSI_encourage,Zoo_encourage,Childrens_encourage,Scouts_encourage,Other_after_encourage,National_park_encourage,Team_sport_encourage,Sport_encourage,Summer_camps_encourage,Hike_outdoors_encourage,Garden_encourage,Experiment_encourage,Read_encourage,Internet_encourage,Computer_games_encourage,Communicate_encourage,TV_encourage,Build_encourage,Pets_encourage,Stars_planets_7,Mix_materials_7,Weather_7,Human_body_7,Traits_7,Sudoku_7,Fish_hunt_7,Earthquakes_7,Measure_7,Diseases_7,Minecraft_7,Planets_space_7,Buildings_bridges_7,Eat_exercise_7,Engines_7,Rocks_minerals_7,Computers_cell_phones_7,Food_flowers_7,Maps_7,Invent_7,Community_green_7,Shapes_7,Puzzles_7,Earth_space_7,Human_bio_7,Tech_eng_7,Math_7
6,1,Parkrose MS,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,5,1,3,5,2111,1111,1111,1111,1111,2111,1111,1111,1211,1111,1111,2111,1111,1211,1111,1112,1111,1111,1111,1112,4,4,2,3,4,3,3,3,3,3,5,4,3,3,3,4,3,3,3,4,3,3,3,0.5625,0.583333333,0.55,0.5
11,1,Parkrose MS,2,2,2,2,1,1,1,2,2,4,1,3,1,1,5,5,5,5,5,1,1,1112,1211,1211,1121,1111,2111,1211,2111,1112,1111,2111,1111,1111,1112,1112,1121,1112,1112,1111,1111,4,4,3,3,4,1,3,4,1,4,5,5,3,3,3,2,4,3,3,4,4,3,3,0.75,0.583333333,0.6,0.25
17,1,Parkrose MS,3,2,1,1,1,1,5,1,5,5,1,5,1,1,4,4,5,5,5,3,1,2111,1111,1111,1111,1111,2111,1111,1112,2111,1111,1111,1111,1111,1112,1112,1112,1121,1112,1111,1111,5,5,3,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,2,0.875,1,1,0.5625
20,0,Parkrose MS,2,2,2,2,1,1,1,3,1,1,1,3,2,2,3,4,5,5,4,3,1,2111,2111,2111,1111,1111,2111,2111,1111,1112,1111,2111,1112,1112,1112,1112,1112,1112,1112,1112,1111,1,4,4,1,1,1,5,1,1,4,5,1,4,3,2,NA,4,5,3,5,4,3,1,0.1875,0.166666667,0.65,0.125
22,0,Parkrose MS,3,3,1,1,1,2,3,1,2,5,2,5,1,1,3,3,5,4,3,3,1,1111,1211,1211,1111,1111,1121,1112,1121,1121,1111,2111,1111,1111,2111,1112,1112,1112,1112,1111,1111,3,4,5,4,4,3,1,4,3,4,2,4,3,5,3,4,3,3,1,2,4,2,1,0.75,0.833333333,0.35,0.3125
24,1,Parkrose MS,3,5,2,2,2,4,5,5,5,5,2,2,3,3,5,5,5,5,5,5,5,1112,1112,1112,1112,2111,1121,1121,1112,2111,1121,1112,2111,2111,2111,1112,1112,1121,1112,1112,1111,5,5,5,5,NA,1,5,5,1,5,1,5,1,3,3,5,3,5,3,3,5,3,5,1,0.75,0.4,0.375
27,1,Parkrose MS,2,1,1,1,1,1,1,2,1,2,1,2,3,1,5,3,5,5,2,1,5,1112,1211,1112,1211,1111,1112,1112,1112,1112,2111,1121,2111,1111,2111,1112,1112,1112,1112,1111,1211,5,5,5,5,5,3,3,5,3,5,3,5,4,5,4,5,5,5,4,3,4,3,5,1,1,0.75,0.625
30,0,Parkrose MS,3,4,3,3,1,1,4,3,4,5,3,4,4,4,5,4,5,5,5,4,5,2111,1112,1112,1211,1111,2211,2111,1211,1112,1121,2111,2111,1112,1121,2111,1112,1112,1112,1112,1112,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,1,0.95,0.9375
35,1,Parkrose MS,3,3,1,1,1,1,1,1,2,3,1,1,3,1,5,4,5,5,4,1,1,2211,2111,1111,1111,1111,1121,2111,1221,1111,2211,1111,2111,1111,2211,1211,1112,1112,1112,1111,1111,5,4,5,3,3,4,1,5,4,4,3,5,2,5,3,5,4,3,3,4,3,2,2,1,0.666666667,0.55,0.5
38,1,Parkrose MS,1,2,2,2,1,3,2,2,1,1,1,2,3,1,2,3,5,5,1,1,4,1112,2111,2111,1111,1112,1111,2111,2111,1111,1111,2111,2111,1111,1112,1112,1112,1112,1111,1111,2111,4,5,2,5,3,3,1,4,3,5,5,5,5,2,2,1,5,5,1,5,5,4,1,0.6875,0.583333333,0.65,0.4375
39,1,Parkrose MS,3,2,1,1,1,1,1,1,1,2,1,5,1,1,5,1,4,5,4,1,4,1112,1111,1111,1111,1111,1112,1111,1111,1112,1111,1121,1111,1111,1112,1111,1112,1121,2111,1111,2111,4,3,3,4,4,2,5,3,3,4,2,4,4,3,2,3,4,3,2,5,3,4,4,0.625,0.666666667,0.6,0.5625
40,1,Parkrose MS,1,2,1,2,1,1,2,1,1,1,1,1,1,1,5,2,5,5,1,1,2,2111,1121,1112,1111,1111,2111,1112,1111,1111,1111,1111,1111,1111,1112,1111,1112,1112,1111,1111,1112,3,5,1,3,1,1,2,3,3,5,5,3,2,1,2,5,5,1,5,5,3,3,3,0.375,0.166666667,0.7,0.375
41,1,Parkrose MS,3,2,2,1,1,1,5,5,5,5,2,5,5,5,5,5,5,5,1,5,1,1121,2111,2111,2111,1111,1121,1121,2111,1211,1121,1111,2111,2111,2111,2111,2111,1212,2121,1211,1121,5,5,5,3,3,4,1,3,4,3,4,4,3,4,2,NA,3,4,3,4,3,3,4,0.8125,0.583333333,0.5,0.6875
51,0,Parkrose MS,3,2,1,1,1,4,4,3,5,2,2,3,2,1,2,2,5,4,2,3,3,2111,1112,1112,1112,1121,1112,1112,1112,1111,1112,2111,2111,1111,2111,1111,2121,1111,1112,1112,1111,2,2,1,2,1,1,5,4,2,2,5,3,2,3,1,3,4,2,3,2,2,2,2,0.375,0.25,0.35,0.1875
55,0,Parkrose MS,2,2,1,1,1,5,3,3,5,5,2,5,1,3,1,2,5,5,1,5,4,1111,1111,1111,1111,1112,1112,2111,1112,2111,2111,1112,1111,1112,1111,1112,1112,1112,1111,1112,1111,3,5,3,3,3,3,5,3,3,3,5,3,3,3,3,3,3,3,3,4,3,3,3,0.5,0.5,0.55,0.5
